"","compound","field","treatment","date","month","mean_conc"
"415","no3","4","50",2018-06-05,"Jun",0.3
"416","no3","4","50",2018-06-19,"Jun",0
"417","no3","4","75",2018-03-13,"Mar",21.46
"418","no3","4","75",2018-03-27,"Mar",19.3
"419","no3","4","75",2018-04-10,"Apr",12.63
"420","no3","4","75",2018-04-24,"Apr",7.68
"421","no3","4","75",2018-05-08,"May",3.76
"422","no3","4","75",2018-05-22,"May",1.55
"423","no3","4","75",2018-06-05,"Jun",0.84
"424","no3","4","75",2018-06-19,"Jun",0.52
"425","no3","4","100",2018-03-13,"Mar",24.98
"426","no3","4","100",2018-03-27,"Mar",30.76
"427","no3","4","100",2018-04-10,"Apr",28.69
"428","no3","4","100",2018-04-24,"Apr",28.53
"429","no3","4","100",2018-05-08,"May",26.97
"430","no3","4","100",2018-05-22,"May",26.47
"431","no3","4","100",2018-06-05,"Jun",27.31
"432","no3","4","100",2018-06-19,"Jun",26.61
"433","no3","4","C",2018-03-13,"Mar",8.37666666666667
"434","no3","4","C",2018-03-27,"Mar",6.56333333333333
"435","no3","4","C",2018-04-10,"Apr",5.86666666666667
"436","no3","4","C",2018-04-24,"Apr",4.455
"437","no3","4","C",2018-05-08,"May",9.17333333333333
"438","no3","4","C",2018-05-22,"May",8.11
"439","no3","4","C",2018-06-05,"Jun",10.4966666666667
"440","no3","4","C",2018-06-19,"Jun",8.27666666666667
"441","no3","4","P",2018-03-13,"Mar",13.965
"442","no3","4","P",2018-03-27,"Mar",16.485
"443","no3","4","P",2018-04-10,"Apr",13.365
"444","no3","4","P",2018-04-24,"Apr",12.67
"445","no3","4","P",2018-05-08,"May",10.9366666666667
"446","no3","4","P",2018-05-22,"May",8.6975
"447","no3","4","P",2018-06-05,"Jun",8.90333333333333
"448","no3","4","P",2018-06-19,"Jun",4.49333333333333
