                         CRVO - ET SUMMARY - 2016 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 06/03 0.29 0.29 0.25 0.23 0.16 0.28 0.28 0.29 0.28 0.27 0.25 0.22 0.22 0.18 0.14 0.19 0.28 0.13 0.22 0.29 0.28 0.28 0.21 0.16 0.26 0.23 0.21 0.32
 06/04 0.41 0.41 0.35 0.33 0.21 0.40 0.39 0.41 0.39 0.38 0.36 0.32 0.32 0.26 0.21 0.27 0.39 0.19 0.31 0.41 0.39 0.39 0.28 0.24 0.37 0.33 0.30 0.45
 06/05 0.27 0.27 0.23 0.22 0.13 0.26 0.25 0.27 0.26 0.25 0.24 0.22 0.21 0.18 0.14 0.18 0.26 0.12 0.20 0.27 0.26 0.26 0.18 0.16 0.25 0.22 0.20 0.30
 06/06 0.36 0.36 0.31 0.29 0.17 0.35 0.33 0.36 0.34 0.33 0.32 0.29 0.29 0.24 0.19 0.23 0.35 0.17 0.27 0.36 0.34 0.34 0.23 0.22 0.34 0.30 0.27 0.40
 06/07 0.34 0.34 0.29 0.27 0.15 0.33 0.30 0.34 0.32 0.32 0.30 0.28 0.27 0.23 0.18 0.22 0.33 0.16 0.26 0.34 0.32 0.32 0.20 0.21 0.32 0.29 0.26 0.37
 06/08 0.21 0.21 0.18 0.17 0.09 0.20 0.18 0.21 0.20 0.20 0.19 0.17 0.17 0.14 0.12 0.14 0.20 0.10 0.16 0.21 0.20 0.20 0.12 0.13 0.20 0.18 0.16 0.23
 06/09 0.07 0.07 0.06 0.06 0.03 0.07 0.06 0.07 0.07 0.07 0.06 0.06 0.06 0.05 0.04 0.05 0.07 0.03 0.05 0.07 0.07 0.07 0.04 0.05 0.07 0.06 0.06 0.08
 06/10 0.17 0.17 0.14 0.14 0.06 0.16 0.13 0.17 0.16 0.16 0.15 0.14 0.14 0.12 0.10 0.11 0.16 0.08 0.13 0.17 0.16 0.16 0.09 0.11 0.16 0.15 0.14 0.19
 06/11 0.18 0.18 0.15 0.14 0.06 0.17 0.14 0.18 0.17 0.17 0.16 0.15 0.15 0.13 0.10 0.12 0.17 0.08 0.14 0.18 0.17 0.17 0.09 0.12 0.17 0.16 0.15 0.20
 06/12 0.30 0.30 0.26 0.24 0.10 0.29 0.22 0.30 0.28 0.28 0.28 0.26 0.26 0.22 0.18 0.20 0.29 0.14 0.23 0.30 0.28 0.29 0.14 0.20 0.29 0.27 0.25 0.33
 06/13 0.15 0.15 0.13 0.12 0.05 0.14 0.11 0.15 0.14 0.14 0.14 0.13 0.13 0.11 0.09 0.10 0.15 0.07 0.12 0.15 0.14 0.14 0.06 0.10 0.15 0.14 0.13 0.17
 06/14 0.19 0.19 0.16 0.15 0.06 0.18 0.13 0.19 0.17 0.18 0.18 0.17 0.17 0.14 0.12 0.12 0.19 0.09 0.15 0.19 0.17 0.18 0.08 0.12 0.19 0.17 0.16 0.21
 06/15 0.15 0.15 0.13 0.12 0.05 0.14 0.10 0.15 0.14 0.14 0.14 0.13 0.13 0.12 0.09 0.10 0.15 0.07 0.12 0.15 0.14 0.14 0.06 0.10 0.15 0.14 0.13 0.17
